"region","food1","food2","food3","food4","food1_kid","food2_kid","food3_kid","food4_kid"
"Overall",0.0214476,0.3779336,0.8537985,0.8748134,0.0323168,0.4313089,0.8618928,0.8628483
"White",0.0142885,0.3422701,0.878383,0.904164,0.0223903,0.3955154,0.9074896,0.9250171
"Black",0.0426497,0.4375616,0.8314026,0.8721674,0.0512401,0.4755068,0.8584939,0.9225762
"Hispanic",0.0408154,0.4155913,0.8378043,0.8045713,0.0512539,0.4541351,0.8261756,0.7647054
"Asian",0.013,0.321,0.806,0.743,0.017,0.421,0.707,0.602
"USA",0.0214476007968187,0.377933591604233,0.853798508644104,0.874813377857208,0.0323168374598026,0.43130886554718,0.861892819404602,0.862848281860352
"alabama",0.0316204540431499,0.4178267121315,0.906148910522461,0.948151171207428,0.0432268753647804,0.448586463928223,0.924118399620056,0.796603798866272
"alaska",0.0204121135175228,0.376391470432282,0.801900744438171,1,0.0364430025219917,0.416749000549316,0.878365337848663,1
"arizona",0.0244164019823074,0.411907702684403,0.845274686813355,0.969680845737457,0.0355650596320629,0.481335341930389,0.778467774391174,1
"arkansas",0.0349996164441109,0.406344950199127,0.854911386966705,1,0.0637101083993912,0.500188410282135,0.854340672492981,1
"california",0.0229151602834463,0.373708367347717,0.843672633171082,0.787137031555176,0.0324108898639679,0.408392608165741,0.831371963024139,0.752047479152679
"colorado",0.0123690711334348,0.332331985235214,0.77776050567627,1,0.0179399941116571,0.416245132684708,0.876442790031433,1
"connecticut",0.026621775701642,0.380902320146561,0.773681998252869,0.762176930904388,0.0331186689436436,0.521647453308106,0.767686128616333,0.687337160110474
"delaware",0.0120528284460306,0.451895982027054,0.803162217140198,1,0.0210424344986677,0.568655848503113,0.839778900146484,1
"district of columbia",0.0280732046812773,0.398276716470718,0.824352741241455,0.646348893642426,0.052580438554287,0.496298134326935,0.913062274456024,0.216308027505875
"florida",0.0206557083874941,0.393392354249954,0.86860066652298,0.840666711330414,0.028630755841732,0.483867168426514,0.879705488681793,0.86025071144104
"georgia",0.0211592763662338,0.377369523048401,0.825237631797791,0.786176145076752,0.0343914292752743,0.395173281431198,0.854469060897827,1
"hawaii",0.009166169911623,0.314661383628845,0.748879075050354,0.812080025672913,0.0183078702539206,0.430959045886993,0.705671429634094,0.733495473861694
"idaho",0.0195926185697317,0.321913599967957,0.855854034423828,1,0.0353461056947708,0.37456139922142,0.831745266914368,1
"illinois",0.0185196548700333,0.353474855422974,0.739238381385803,0.840121567249298,0.0250241868197918,0.345621734857559,0.775474727153778,0.725388705730438
"indiana",0.0266092997044325,0.379298031330109,0.964538872241974,0.916355907917023,0.0393684655427933,0.410769730806351,1,0.902615189552307
"iowa",0.012049026787281,0.389520287513733,0.897195994853973,1,0.0131433354690671,0.423434257507324,0.976670920848846,1
"kansas",0.0226704869419336,0.421315580606461,0.956622421741486,1,0.0301237683743238,0.502007007598877,0.974722325801849,1
"kentucky",0.0289308279752731,0.408585101366043,0.952322840690613,0.835634052753449,0.0430622436106205,0.446363866329193,1,1
"louisiana",0.0265820380300283,0.424061626195908,0.836516797542572,0.924899160861969,0.0359662212431431,0.498355895280838,0.805444478988648,0.879716396331787
"maine",0.0274337641894817,0.386165976524353,0.822036862373352,0.929854571819305,0.0533931292593479,0.432856738567352,0.872629642486572,1
"maryland",0.0170380044728518,0.352769792079926,0.776500701904297,0.798022925853729,0.0208940636366606,0.443034261465073,0.869081735610962,1
"massachusetts",0.0125882485881448,0.306307792663574,0.86613404750824,0.811549484729767,0.0164709314703941,0.358897030353546,0.931849002838135,0.685491383075714
"michigan",0.0220143143087626,0.39443102478981,0.902231454849243,0.913450360298157,0.0366060957312584,0.413527190685272,0.922890424728394,0.921617805957794
"minnesota",0.0189403332769871,0.357840806245804,0.817258179187775,1,0.0380507558584213,0.436342835426331,0.843762755393982,1
"mississippi",0.0308012068271637,0.384933322668076,0.91461855173111,0.883213341236115,0.0408391021192074,0.434170782566071,0.902530789375305,0.897433638572693
"missouri",0.0228123236447573,0.379255563020706,0.891045391559601,0.772566854953766,0.0267001371830702,0.46713924407959,0.977737188339233,0.823431491851807
"montana",0.0161036234349012,0.363422900438309,0.872097790241242,1,0.0213108249008656,0.427641123533249,0.944554030895233,1
"nebraska",0.0188677497208118,0.354779273271561,0.942029714584351,0.926608443260193,0.0300378296524286,0.463785439729691,0.938108682632446,0.762516975402832
"nevada",0.0207934621721506,0.410159081220627,0.832524478435516,0.899912238121033,0.0375270619988441,0.495774745941162,0.916686773300171,1
"new hampshire",0.0141139980405569,0.334042280912399,0.8597412109375,0.873257040977478,0.0231504775583744,0.392056375741959,1,1
"new jersey",0.013062072917819,0.414533853530884,0.843704760074616,0.738416492938995,0.0230105742812157,0.534311354160309,0.765582799911499,0.722183227539063
"new mexico",0.048453763127327,0.455487906932831,0.920821189880371,0.85554164648056,0.0963851660490036,0.475064784288406,0.949838995933533,0.742627859115601
"new york",0.0137082133442163,0.353915989398956,0.81172114610672,0.959012150764465,0.0184893682599068,0.406230419874191,0.837193787097931,1
"north carolina",0.0224629808217287,0.390274852514267,0.900311887264252,0.95788049697876,0.0348690189421177,0.455745846033096,0.925627887248993,1
"north dakota",0.015375847928226,0.363481670618057,0.835115432739258,0.807484447956085,0.0209806766360998,0.452146351337433,0.929360389709473,1
"ohio",0.0192647594958544,0.370912581682205,0.854531288146973,0.959983766078949,0.0255594346672297,0.393474608659744,0.79330176115036,0.954718291759491
"oklahoma",0.0277757700532675,0.41170871257782,0.862033903598785,0.951373517513275,0.0393265299499035,0.434193104505539,1,0.929030954837799
"oregon",0.017081955447793,0.356435328722,0.872097432613373,1,0.0282304305583239,0.38768482208252,0.856933355331421,1
"pennsylvania",0.0260154381394386,0.341379791498184,0.79804527759552,0.907708525657654,0.0387120880186558,0.431940615177155,0.843212902545929,1
"rhode island",0.0176012758165598,0.388066440820694,0.800655543804169,0.588508486747742,0.0218965392559767,0.408114939928055,0.926045417785645,1
"south carolina",0.0217384807765484,0.338468104600906,0.865116894245148,0.908099591732025,0.0254108849912882,0.31254643201828,0.904779970645905,0.879160463809967
"south dakota",0.0223293695598841,0.349097669124603,0.83624404668808,0.829544007778168,0.0277748182415962,0.434807360172272,0.860839664936066,0.803228259086609
"tennessee",0.020179558545351,0.381629973649979,0.844522416591644,0.971888184547424,0.0343737751245499,0.396534234285355,0.940408051013947,1
"texas",0.0310038384050131,0.408677846193314,0.87957751750946,0.888542830944061,0.0457056984305382,0.456002920866013,0.825273454189301,0.811131238937378
"utah",0.0231221597641706,0.325395077466965,0.942685782909393,0.937245428562164,0.0366532765328884,0.334368795156479,0.910079479217529,1
"vermont",0.0110140778124332,0.295755922794342,0.912109792232513,0.830244421958923,0.0132701760157943,0.359013080596924,0.914634823799133,0.699506998062134
"virginia",0.0167843364179134,0.36169821023941,0.925410687923431,0.804940640926361,0.0280779227614403,0.390175998210907,0.889514684677124,1
"washington",0.0147028220817447,0.359277069568634,0.829399108886719,1,0.0295023210346699,0.429716110229492,0.83742618560791,1
"west virginia",0.0236683934926987,0.395535975694656,0.952860057353973,0.823735594749451,0.0428568497300148,0.457283735275269,1,0.942736446857452
"wisconsin",0.0172441620379686,0.339947044849396,0.827373504638672,0.806944906711578,0.0319719724357128,0.515917122364044,0.838386118412018,0.275232285261154
"wyoming",0.0243599358946085,0.393580406904221,0.816340446472168,0.957850515842438,0.0329712778329849,0.497057408094406,0.810627341270447,1
